latitude,longitude,treeid,name,groupuni,,,,,,,
52.361193000,4.948267000,169,T169,1,,,,,,,
52.361648000,4.949988000,156,T156,1,,,,,,,
52.359825000,4.952364000,140,T140,1,,,,,,,
52.358410000,4.950218000,112,T112,1,,,,,,,
52.358883000,4.949587000,89,T089,1,,,,,,,
52.359268000,4.952588000,75,T075,1,,,,,,,
52.360679000,4.951471000,61,T061,1,,,,,,,
52.361714000,4.949936000,30,T030,1,,,,,,,
52.361766000,4.948806000,18,T018,1,,,,,,,
52.361111000,4.948330000,12,T012,1,,,,,,,
52.358971000,4.948070000,194,T194,3,,,,,,,
52.361293000,4.951167000,154,T154,3,,,,,,,
52.360735000,4.951497000,145,T145,3,,,,,,,
52.358727000,4.952206000,129,T129,3,,,,,,,
52.358369000,4.951124000,119,T119,3,,,,,,,
52.359477000,4.950839000,84,T084,3,,,,,,,
52.360519000,4.951298000,49,T049,3,,,,,,,
52.361316000,4.951009000,40,T040,3,,,,,,,
52.360967000,4.948796000,28,T028,3,,,,,,,
52.358678000,4.947706000,1,T001,3,,,,,,,
52.358593000,4.947768000,198,T198,4,,,,,,,
52.361542000,4.948347000,166,T166,4,,,,,,,
52.360764000,4.951597000,147,T147,4,,,,,,,
52.358794000,4.952336000,131,T131,4,,,,,,,
52.358385000,4.951331000,121,T121,4,,,,,,,
52.359004000,4.949694000,88,T088,4,,,,,,,
52.360179000,4.951130000,52,T052,4,,,,,,,
52.361071000,4.950847000,42,T042,4,,,,,,,
52.361579000,4.950311000,33,T033,4,,,,,,,
52.359251000,4.947890000,3,T003,4,,,,,,,
52.358510000,4.948228000,199,T199,2a,,,,,,,
52.359597000,4.948084000,183,T183,2a,,,,,,,
52.359884000,4.947896000,181,T181,2a,,,,,,,
52.361166000,4.948338000,170,T170,2a,,,,,,,
52.358563000,4.949287000,105,T105,2a,,,,,,,
52.358490000,4.949219000,104,T104,2a,,,,,,,
52.359326000,4.952038000,81,T081,2a,,,,,,,
52.359179000,4.952200000,80,T080,2a,,,,,,,
52.361497000,4.949752000,24,T024,2a,,,,,,,
52.361809000,4.949641000,22,T022,2a,,,,,,,